twist_id,phix,phiy,kx_over_pi,ky_over_pi,seed,multiplicity
800,0.06250000,0.06250000,0.03125000,0.03125000,800014745,4
801,0.06250000,0.18750000,0.03125000,0.09375000,801014748,8
802,0.18750000,0.18750000,0.09375000,0.09375000,802014751,4
803,0.06250000,0.31250000,0.03125000,0.15625000,803014754,8
804,0.18750000,0.31250000,0.09375000,0.15625000,804014757,8
805,0.31250000,0.31250000,0.15625000,0.15625000,805014760,4
806,0.06250000,0.43750000,0.03125000,0.21875000,806014763,8
807,0.18750000,0.43750000,0.09375000,0.21875000,807014766,8
808,0.31250000,0.43750000,0.15625000,0.21875000,808014769,8
809,0.43750000,0.43750000,0.21875000,0.21875000,809014772,4
