mu,n,partition_like
-5,5.15288403485581e-10,1.00000000412231
-4.75,7.64755333399284e-08,1.00000061180464
-4.5,1.13489520137131e-05,1.00009079985975
-4.25,0.0016620898361105,1.01347589896232
-4,0.083339407702074,3.00010934262241
-3.75,0.125586387624454,2.02296583102217
-3.5,0.193288497646196,3.10405691283497
-3.25,0.249304479087617,1.70529155814625
-3,0.249995287574349,1.6958669652506
-2.75,0.249999968249169,1.69580346288567
-2.5,0.250000000147022,1.695803039874
-2.25,0.250000053571747,1.69580375889072
-2,0.250007950689591,1.6959108998219
-1.75,0.251173929128822,1.71184575663638
-1.5,0.350419322155157,4.81973794724722
-1.25,0.497355950709992,1.13807087801003
-1,0.499981979135063,1.1142733101663
-0.75,0.500000309602199,1.11411754670766
-0.5,0.500063946401382,1.11468285182766
-0.25,0.508933621453552,1.19928071729052
0,0.677906554351634,1.93215736030642
0.25,0.749121163476827,0.908128437588363
0.5,0.749994043914429,0.90179044689102
0.75,0.749999962010194,0.901747782713519
1,0.750000317875899,0.901749774784796
1.25,0.750047199900325,0.902088103644833
1.5,0.7566461069866,0.95234147655594
1.75,0.874990717405496,2.66217806712929
2,0.993349058947893,0.955178296414619
2.25,0.999952763912651,0.904738599728144
2.5,0.999999681609692,0.904399014716431
2.75,0.999999997854698,0.904396726623105
3,0.999999999985545,0.904396711206054
3.25,0.999999999999903,0.904396711102204
3.5,0.999999999999999,0.904396711101504
3.75,1,0.904396711101499
4,1,0.904396711101499
4.25,1,0.904396711101499
4.5,1,0.904396711101502
4.75,1.00000000000005,0.904396711101883
5,1.00000000000787,0.90439671115845
