mu,n,partition_like
-5,6.84817438413959e-23,1
-4.75,1.50841078829122e-18,1
-4.5,3.32249586328096e-14,1.00000000000013
-4.25,7.31828412717255e-10,1.00000000292731
-4,1.61185542493991e-05,1.00006447837419
-3.75,0.146704062291498,1.70411095708688
-3.5,0.249992008608458,1.00003196658839
-3.25,0.24999999963718,1.00000000145168
-3,0.250000000000012,1.00000000000069
-2.75,0.250000000004272,1.00000000003457
-2.5,0.250000000634036,1.00000000507268
-2.25,0.250000094099215,1.00000075279461
-2,0.250013964384962,1.00011172605977
-1.75,0.25204693547717,1.01661447420401
-1.5,0.366903264029495,4.1895253036703
-1.25,0.497203608940046,1.10998893747486
-1,0.499980837782345,1.08539127923883
-0.75,0.500000240022188,1.08522917735395
-0.5,0.500054770914019,1.08570055733926
-0.25,0.507761086364677,1.15642319598109
0,0.686334642396874,1.87133183414575
0.25,0.749337603583824,1.00532366958299
0.5,0.749995519432294,1.00003584588478
0.75,0.749999971610581,1.00000025596855
1,0.750000267130079,1.00000214033251
1.25,0.750039663813313,1.00031740922479
1.5,0.755634071141919,1.04715262688658
1.75,0.874948652944359,2.5712366304698
2,0.994345955415677,1.04732904547237
2.25,0.999960189251908,1.0003200386057
2.5,0.999999731675869,1.00000359936263
2.75,0.999999998192042,1.00000146722563
3,0.999999999987818,1.0000014528594
3.25,0.999999999999918,1.0000014527626
3.5,1,1.00000145276195
3.75,1,1.00000145276195
4,1,1.00000145276195
4.25,1,1.00000145276195
4.5,1,1.00000145276195
4.75,1.00000000000008,1.0000014527626
5,1.00000000001218,1.0000014528594
5.25,1.00000000180796,1.00000146722563
5.5,1.00000026832413,1.00000359936263
5.75,1.00003981074809,1.0003200386057
6,1.00565404458432,1.04732904547236
6.25,1.12505134705567,2.57123663046659
6.5,1.24436592885809,1.04715262688648
6.75,1.24996033618669,1.00031740922479
7,1.24999973286992,1.00000214033251
7.25,1.25000002838942,1.00000025596855
7.5,1.25000448056771,1.00003584588478
7.75,1.25066239641617,1.00532366958298
8,1.31366535760306,1.87133183414396
8.25,1.49223891363532,1.15642319598107
8.5,1.49994522908598,1.08570055733925
8.75,1.49999975997781,1.08522917735394
9,1.50001916221766,1.08539127923882
9.25,1.50279639105995,1.10998893747484
9.5,1.63309673597049,4.18952530367145
9.75,1.74795306452283,1.01661447420401
10,1.74998603561504,1.00011172605977
10.25,1.74999990590078,1.00000075279461
10.5,1.74999999936596,1.00000000507268
10.75,1.74999999999573,1.00000000003457
11,1.74999999999999,1.00000000000069
11.25,1.75000000036282,1.00000000145168
11.5,1.75000799139154,1.00003196658839
11.75,1.85329593770853,1.70411095708721
12,1.99998388144575,1.00006447837419
12.25,1.99999999926817,1.00000000292731
12.5,1.99999999999997,1.00000000000013
12.75,2,1
13,2,1
13.25,2,1
13.5,2,1
13.75,2,1
14,2,1
14.25,2,1
14.5,2,1
14.75,2,1
15,2,1
