mu,n,partition_like
-5,5.15288403485528e-10,1.00000000412231
-4.75,7.64755333388753e-08,1.00000061180464
-4.5,1.13489519905174e-05,1.00009079985965
-4.25,0.00166208933526785,1.01347589691837
-4,0.0833369066722729,3.00006432147992
-3.75,0.12517409544615,2.01628410103921
-3.5,0.176829236067969,2.40582059635311
-3.25,0.248822243416915,1.00705524166447
-3,0.249991989373025,0.997630648768834
-2.75,0.249999946025747,0.997567146405716
-2.5,0.250000000283919,0.997566723663488
-2.25,0.250000096113434,0.997567482668669
-2,0.250014263648566,0.997680558491472
-1.75,0.25209055638963,1.01449794815531
-1.5,0.368840016979308,4.29118542401179
-1.25,0.497355960780589,1.19605225532354
-1,0.499981901874246,1.1709900166613
-0.75,0.500000202488806,1.17082461852371
-0.5,0.500048140118226,1.17127150954977
-0.25,0.50686411628476,1.23828969503279
0,0.682560238049506,1.71473275361562
0.25,0.749284658691197,0.882882448042126
0.5,0.749995160184113,0.877867945177843
0.75,0.749999969411174,0.877834198637853
1,0.750000299959398,0.877836065022048
1.25,0.750044535440476,0.878146822294876
1.5,0.756293582732784,0.924319688454135
1.75,0.878909000440505,2.55362484302644
2,0.995168771119569,1.2079054096645
2.25,0.999966206640881,1.16157409711291
2.5,0.999999772243595,1.16126218688323
2.75,0.999999998465387,1.16126008526079
3,0.99999999998966,1.16126007110017
3.25,0.99999999999993,1.16126007100468
3.5,1,1.16126007100404
3.75,1,1.16126007100404
4,1,1.16126007100404
4.25,1,1.16126007100404
4.5,1,1.16126007100404
4.75,1.00000000000007,1.16126007100468
5,1.00000000001026,1.16126007109934
5.25,1.00000000152247,1.16126008514792
5.5,1.00000022595446,1.16126217014288
5.75,1.00003352616764,1.16157161308893
6,1.00479657441076,1.207546725803
6.25,1.1241931948169,2.60109520650505
6.5,1.24495689103689,1.14440546787151
6.75,1.24996468293188,1.09859749407541
7,1.24999976214984,1.09828919544453
7.25,1.25000002474578,1.09828734810574
7.5,1.2500039105411,1.09832146273627
7.75,1.2505787119527,1.10339101845832
8,1.31098005696802,1.95310228701537
8.25,1.4936986494358,1.36862194594613
8.5,1.499956178055,1.30074627776944
8.75,1.49999980503257,1.30029440019343
9,1.50001489332005,1.30044526542272
9.25,1.50218660427773,1.32336383444436
9.5,1.63224611356727,4.28613596955706
9.75,1.74829369498787,1.13696781323517
10,1.74998840451549,1.1215913788335
10.25,1.7499999218679,1.1214880385017
10.5,1.74999999979704,1.12148734509494
10.75,1.75000004801061,1.12148776827917
11,1.7500071255298,1.12155127064526
11.25,1.75104871021444,1.13097586354092
11.5,1.81958645795469,2.52974121822941
11.75,1.87475253299963,2.01746995189568
12,1.91666264944793,3.00007231167833
12.25,1.99833791057584,1.01347589728112
12.5,1.99998865104801,1.00009079985967
12.75,1.99999992352447,1.00000061180464
13,1.99999999948471,1.00000000412231
13.25,1.99999999999653,1.00000000002778
13.5,1.99999999999998,1.00000000000019
13.75,2,1
14,2,1
14.25,2,1
14.5,2,1
14.75,2,1
15,2,1
