mu,n_ftlm,n_ed,diff_ftlm_minus_ed
-5.0,5.15288403485528e-10,6.84817438413959e-23,5.152884034854595e-10
-4.75,7.64755333388753e-08,1.50841078829122e-18,7.64755333373669e-08
-4.5,1.13489519905174e-05,3.32249586328096e-14,1.1348951957292441e-05
-4.25,0.00166208933526785,7.31828412717255e-10,0.0016620886034394372
-4.0,0.0833369066722729,1.61185542493991e-05,0.0833207881180235
-3.75,0.12517409544615,0.146704062291498,-0.021529966845347998
-3.5,0.176829236067969,0.249992008608458,-0.073162772540489
-3.25,0.248822243416915,0.24999999963718,-0.0011777562202650027
-3.0,0.249991989373025,0.250000000000012,-8.010626986992841e-06
-2.75,0.249999946025747,0.250000000004272,-5.397852503863376e-08
-2.5,0.250000000283919,0.250000000634036,-3.501169909547741e-10
-2.25,0.250000096113434,0.250000094099215,2.0142190138017213e-09
-2.0,0.250014263648566,0.250013964384962,2.992636040088925e-07
-1.75,0.25209055638963,0.25204693547717,4.3620912460018424e-05
-1.5,0.368840016979308,0.366903264029495,0.001936752949812992
-1.25,0.497355960780589,0.497203608940046,0.0001523518405430191
-1.0,0.499981901874246,0.499980837782345,1.0640919010374006e-06
-0.75,0.500000202488806,0.500000240022188,-3.753338206902157e-08
-0.5,0.500048140118226,0.500054770914019,-6.630795792994526e-06
-0.25,0.50686411628476,0.507761086364677,-0.0008969700799169589
0.0,0.682560238049506,0.686334642396874,-0.0037744043473679767
0.25,0.749284658691197,0.749337603583824,-5.294489262697155e-05
0.5,0.749995160184113,0.749995519432294,-3.592481809810977e-07
0.75,0.749999969411174,0.749999971610581,-2.199406989866759e-09
1.0,0.750000299959398,0.750000267130079,3.2829319041027816e-08
1.25,0.750044535440476,0.750039663813313,4.8716271630055985e-06
1.5,0.756293582732784,0.755634071141919,0.0006595115908649696
1.75,0.878909000440505,0.874948652944359,0.003960347496146044
2.0,0.995168771119569,0.994345955415677,0.000822815703891977
2.25,0.999966206640881,0.999960189251908,6.017388972989757e-06
2.5,0.999999772243595,0.999999731675869,4.056772606730874e-08
2.75,0.999999998465387,0.999999998192042,2.733450132907933e-10
3.0,0.99999999998966,0.999999999987818,1.8420820424580597e-12
3.25,0.99999999999993,0.999999999999918,1.199040866595169e-14
3.5,1.0,1.0,0.0
3.75,1.0,1.0,0.0
4.0,1.0,1.0,0.0
4.25,1.0,1.0,0.0
4.5,1.0,1.0,0.0
4.75,1.00000000000007,1.00000000000008,-9.992007221626409e-15
5.0,1.00000000001026,1.00000000001218,-1.9200196987867457e-12
5.25,1.00000000152247,1.00000000180796,-2.854900760240753e-10
5.5,1.00000022595446,1.00000026832413,-4.236966999471292e-08
5.75,1.00003352616764,1.00003981074809,-6.284580449822386e-06
6.0,1.00479657441076,1.00565404458432,-0.000857470173559971
6.25,1.1241931948169,1.12505134705567,-0.0008581522387700602
6.5,1.24495689103689,1.24436592885809,0.0005909621788000585
6.75,1.24996468293188,1.24996033618669,4.346745190009216e-06
7.0,1.24999976214984,1.24999973286992,2.9279920044089636e-08
7.25,1.25000002474578,1.25000002838942,-3.6436398342942766e-09
7.5,1.2500039105411,1.25000448056771,-5.700266099140094e-07
7.75,1.2505787119527,1.25066239641617,-8.368446346995739e-05
8.0,1.31098005696802,1.31366535760306,-0.002685300635040022
8.25,1.4936986494358,1.49223891363532,0.0014597358004799776
8.5,1.499956178055,1.49994522908598,1.0948969019874966e-05
8.75,1.49999980503257,1.49999975997781,4.505475992289121e-08
9.0,1.50001489332005,1.50001916221766,-4.2688976100713205e-06
9.25,1.50218660427773,1.50279639105995,-0.000609786782219901
9.5,1.63224611356727,1.63309673597049,-0.0008506224032200915
9.75,1.74829369498787,1.74795306452283,0.0003406304650399594
10.0,1.74998840451549,1.74998603561504,2.368900450022693e-06
10.25,1.7499999218679,1.74999990590078,1.5967120070570218e-08
10.5,1.74999999979704,1.74999999936596,4.3107983849210996e-10
10.75,1.75000004801061,1.74999999999573,4.801487984984476e-08
11.0,1.7500071255298,1.74999999999999,7.125529809970388e-06
11.25,1.75104871021444,1.75000000036282,0.0010487098516200888
11.5,1.81958645795469,1.75000799139154,0.06957846656315003
11.75,1.87475253299963,1.85329593770853,0.02145659529109989
12.0,1.91666264944793,1.99998388144575,-0.08332123199782004
12.25,1.99833791057584,1.99999999926817,-0.0016620886923299771
12.5,1.99998865104801,1.99999999999997,-1.1348951959977427e-05
12.75,1.99999992352447,2.0,-7.647552990874829e-08
13.0,1.99999999948471,2.0,-5.152900328653232e-10
13.25,1.99999999999653,2.0,-3.4698910411634643e-12
13.5,1.99999999999998,2.0,-1.9984014443252818e-14
13.75,2.0,2.0,0.0
14.0,2.0,2.0,0.0
14.25,2.0,2.0,0.0
14.5,2.0,2.0,0.0
14.75,2.0,2.0,0.0
15.0,2.0,2.0,0.0
