mu,n_ftlm,n_ed,diff_ftlm_minus_ed
-5.0,5.15288403485581e-10,6.84817438413959e-23,5.152884034855125e-10
-4.75,7.64755333399284e-08,1.50841078829122e-18,7.647553333842e-08
-4.5,1.13489520137131e-05,3.32249586328096e-14,1.1348951980488142e-05
-4.25,0.0016620898361105,7.31828412717255e-10,0.0016620891042820871
-4.0,0.083339407702074,1.61185542493991e-05,0.0833232891478246
-3.75,0.125586387624454,0.146704062291498,-0.02111767466704398
-3.5,0.193288497646196,0.249992008608458,-0.056703510962262005
-3.25,0.249304479087617,0.24999999963718,-0.0006955205495630112
-3.0,0.249995287574349,0.250000000000012,-4.712425662994901e-06
-2.75,0.249999968249169,0.250000000004272,-3.175510301933748e-08
-2.5,0.250000000147022,0.250000000634036,-4.8701398469575e-10
-2.25,0.250000053571747,0.250000094099215,-4.052746799265705e-08
-2.0,0.250007950689591,0.250013964384962,-6.0136953710099306e-06
-1.75,0.251173929128822,0.25204693547717,-0.0008730063483479711
-1.5,0.350419322155157,0.366903264029495,-0.01648394187433805
-1.25,0.497355950709992,0.497203608940046,0.00015234176994599613
-1.0,0.499981979135063,0.499980837782345,1.141352718003752e-06
-0.75,0.500000309602199,0.500000240022188,6.958001097512323e-08
-0.5,0.500063946401382,0.500054770914019,9.175487363011214e-06
-0.25,0.508933621453552,0.507761086364677,0.0011725350888750485
0.0,0.677906554351634,0.686334642396874,-0.008428088045239979
0.25,0.749121163476827,0.749337603583824,-0.00021644010699695126
0.5,0.749994043914429,0.749995519432294,-1.4755178650016632e-06
0.75,0.749999962010194,0.749999971610581,-9.600386929875526e-09
1.0,0.750000317875899,0.750000267130079,5.0745820101560923e-08
1.25,0.750047199900325,0.750039663813313,7.536087011983383e-06
1.5,0.7566461069866,0.755634071141919,0.001012035844680903
1.75,0.874990717405496,0.874948652944359,4.206446113708129e-05
2.0,0.993349058947893,0.994345955415677,-0.000996896467784003
2.25,0.999952763912651,0.999960189251908,-7.4253392570167165e-06
2.5,0.999999681609692,0.999999731675869,-5.006617698199989e-08
2.75,0.999999997854698,0.999999998192042,-3.373440415899154e-10
3.0,0.999999999985545,0.999999999987818,-2.272959598315083e-12
3.25,0.999999999999903,0.999999999999918,-1.4988010832439613e-14
3.5,0.999999999999999,1.0,-9.992007221626409e-16
3.75,1.0,1.0,0.0
4.0,1.0,1.0,0.0
4.25,1.0,1.0,0.0
4.5,1.0,1.0,0.0
4.75,1.00000000000005,1.00000000000008,-2.9976021664879227e-14
5.0,1.00000000000787,1.00000000001218,-4.310107826199783e-12
5.25,1.00000000116821,1.00000000180796,-6.397500307286919e-10
5.5,1.00000017337765,1.00000026832413,-9.494648001151518e-08
5.75,1.00002572686333,1.00003981074809,-1.4083884759985565e-05
6.0,1.00371839120905,1.00565404458432,-0.00193565337527013
6.25,1.12818441379123,1.12505134705567,0.0031330667355600195
6.5,1.24681186696333,1.24436592885809,0.0024459381052399642
6.75,1.24997802590026,1.24996033618669,1.768971356996829e-05
7.0,1.24999985206715,1.24999973286992,1.1919723008624317e-07
7.25,1.25000002132214,1.25000002838942,-7.0672798724302766e-09
7.5,1.25000331250195,1.25000448056771,-1.1680657598933664e-06
7.75,1.25049028073547,1.25066239641617,-0.00017211568069996908
8.0,1.30245854360779,1.31366535760306,-0.011206813995269904
8.25,1.49088531968896,1.49223891363532,-0.0013535939463600322
8.5,1.49993533233418,1.49994522908598,-9.896751800075876e-06
8.75,1.49999975612907,1.49999975997781,-3.848739993372874e-09
9.0,1.50002849012765,1.50001916221766,9.32790998997568e-06
9.25,1.5041114311205,1.50279639105995,0.0013150400605499435
9.5,1.63891400611197,1.63309673597049,0.005817270141480035
9.75,1.74778356050324,1.74795306452283,-0.00016950401959014982
10.0,1.74998483878237,1.74998603561504,-1.1968326700806386e-06
10.25,1.74999989783675,1.74999990590078,-8.064030110332965e-09
10.5,1.7499999997127,1.74999999936596,3.4673997006962054e-10
10.75,1.75000005952186,1.74999999999573,5.952613002513374e-08
11.0,1.75000883389574,1.74999999999999,8.833895750015586e-06
11.25,1.75129754909077,1.75000000036282,0.0012975487279500708
11.5,1.82611213501731,1.75000799139154,0.0761041436257699
11.75,1.87488100946618,1.85329593770853,0.02158507175765001
12.0,1.91666342635743,1.99998388144575,-0.08332045508831998
12.25,1.99833791073142,1.99999999926817,-0.0016620885367499838
12.5,1.99998865104801,1.99999999999997,-1.1348951959977427e-05
12.75,1.99999992352447,2.0,-7.647552990874829e-08
13.0,1.99999999948471,2.0,-5.152900328653232e-10
13.25,1.99999999999653,2.0,-3.4698910411634643e-12
13.5,1.99999999999998,2.0,-1.9984014443252818e-14
13.75,2.0,2.0,0.0
14.0,2.0,2.0,0.0
14.25,2.0,2.0,0.0
14.5,2.0,2.0,0.0
14.75,2.0,2.0,0.0
15.0,2.0,2.0,0.0
